Loaded 1127 signals
Loaded price data for 570/570 tickers

====================================================================================================
TRADE LIST: $1B+ Market Cap | 3M Hold | Stop Loss: -60%
====================================================================================================
Total trades: 350
Winners: 207 | Losers: 143 | Win Rate: 59.1%
Final Value: $235,366 | Total Return: +135.4% | CAGR: +39.2%
Max Drawdown: 26.5%

Exit Breakdown:
  time: 318 (90.9%)
  end_of_sim: 32 (9.1%)

Top 10 Winners:
  BE: +$12,257 (+201.1%) | 2025-07-30 -> 2025-10-28
  SNDK: +$11,976 (+165.1%) | 2025-10-08 -> 2026-01-06
  SATS: +$10,978 (+199.0%) | 2025-06-25 -> 2025-09-23
  MP: +$7,847 (+162.5%) | 2025-04-23 -> 2025-07-22
  APP: +$7,730 (+174.4%) | 2024-09-18 -> 2024-12-17
  PL: +$5,984 (+70.0%) | 2025-12-17 -> 2026-01-21
  PLTR: +$4,675 (+104.5%) | 2024-09-18 -> 2024-12-17
  WBD: +$4,659 (+60.6%) | 2025-09-17 -> 2025-12-16
  SMMT: +$4,114 (+102.1%) | 2024-07-31 -> 2024-10-29
  W: +$3,804 (+62.3%) | 2025-07-30 -> 2025-10-28

All Trades (CSV):
Entry Date,Exit Date,Ticker,Score,Entry Price,Exit Price,Shares,Cost,Proceeds,P&L,P&L %,Days Held,Exit Reason
2023-06-14,2023-09-12,IOT,7,30.63,30.27,130,3982,3935,-47,-1.2%,90,time
2023-06-14,2023-09-12,JOBY,7,7.86,6.99,508,3993,3551,-442,-11.1%,90,time
2023-06-14,2023-09-12,GGAL,7,15.53,15.97,257,3991,4104,113,+2.8%,90,time
2023-06-14,2023-09-12,SYM,6,48.17,33.09,83,3998,2746,-1252,-31.3%,90,time
2023-06-14,2023-09-12,SMCI,6,24.78,26.77,161,3990,4310,320,+8.0%,90,time
2023-06-14,2023-09-12,BMA,5,22.30,23.29,179,3992,4169,177,+4.4%,90,time
2023-06-14,2023-09-12,GTLB,5,50.81,52.35,78,3963,4083,120,+3.0%,90,time
2023-06-21,2023-09-19,PANW,7,119.46,118.09,32,3823,3779,-44,-1.1%,90,time
2023-06-21,2023-09-19,BWXT,7,68.74,75.19,57,3918,4286,368,+9.4%,90,time
2023-06-21,2023-09-19,INTC,6,32.90,36.34,119,3915,4324,409,+10.5%,90,time
2023-06-21,2023-09-19,CCL,6,15.89,15.09,246,3909,3712,-197,-5.0%,90,time
2023-06-21,2023-09-19,CUK,6,14.32,13.63,274,3924,3735,-189,-4.8%,90,time
2023-06-21,2023-09-19,YPF,6,15.45,12.94,253,3909,3274,-635,-16.2%,90,time
2023-06-21,2023-09-19,AXSM,6,88.56,73.01,44,3897,3212,-684,-17.6%,90,time
2023-06-21,2023-09-19,DBX,6,25.75,26.51,152,3914,4030,116,+3.0%,90,time
2023-06-28,2023-09-26,RDNT,6,33.27,27.83,123,4092,3423,-669,-16.4%,90,time
2023-06-28,2023-09-26,KMX,5,84.37,78.25,48,4050,3756,-294,-7.3%,90,time
2023-06-28,2023-09-26,SHC,5,18.79,15.26,218,4096,3327,-770,-18.8%,90,time
2023-07-05,2023-10-03,XPEV,6,14.80,17.44,272,4026,4744,718,+17.8%,90,time
2023-07-05,2023-10-03,GNRC,6,138.48,103.15,29,4016,2991,-1025,-25.5%,90,time
