Loaded 1127 signals
Loaded price data for 570/570 tickers

====================================================================================================
TRADE LIST: $1B+ Market Cap (Stop Loss: -60%)
====================================================================================================
Total trades: 88
Winners: 61 | Losers: 27 | Win Rate: 69.3%
Final Value: $346,080 | Total Return: +246.1% | CAGR: +61.6%
Max Drawdown: 24.6%

Exit Breakdown:
  time: 54 (61.4%)
  end_of_sim: 32 (36.4%)
  stop_loss: 2 (2.3%)

Top 10 Winners:
  SATS: +$30,477 (+395.3%) | 2025-06-25 -> 2026-01-21
  HL: +$27,180 (+365.2%) | 2025-06-11 -> 2026-01-21
  RKLB: +$17,981 (+659.2%) | 2024-06-26 -> 2025-06-26
  AG: +$12,609 (+169.3%) | 2025-06-11 -> 2026-01-21
  RKLB: +$12,086 (+149.9%) | 2025-07-02 -> 2026-01-21
  CDE: +$11,154 (+149.9%) | 2025-06-11 -> 2026-01-21
  CRDO: +$10,607 (+196.4%) | 2024-07-03 -> 2025-07-03
  SMCI: +$10,035 (+251.5%) | 2023-06-14 -> 2024-06-13
  MSTR: +$9,262 (+228.6%) | 2023-07-12 -> 2024-07-11
  BVC: +$8,785 (+159.9%) | 2024-06-12 -> 2025-06-12

All Trades (CSV):
Entry Date,Exit Date,Ticker,Score,Entry Price,Exit Price,Shares,Cost,Proceeds,P&L,P&L %,Days Held,Exit Reason
2023-06-14,2024-06-13,IOT,7,30.63,28.60,130,3982,3718,-264,-6.6%,365,time
2023-06-14,2024-06-13,JOBY,7,7.86,5.00,508,3993,2540,-1453,-36.4%,365,time
2023-06-14,2024-06-13,GGAL,7,15.53,35.20,257,3991,9046,5055,+126.7%,365,time
2023-06-14,2024-06-13,SYM,6,48.17,37.13,83,3998,3082,-916,-22.9%,365,time
2023-06-14,2024-06-13,SMCI,6,24.78,87.11,161,3990,14025,10035,+251.5%,365,time
2023-06-14,2024-06-13,BMA,5,22.30,63.00,179,3992,11277,7285,+182.5%,365,time
2023-06-14,2024-06-13,GTLB,5,50.81,45.23,78,3963,3528,-435,-11.0%,365,time
2023-06-21,2024-06-20,PANW,7,119.46,155.52,32,3823,4977,1154,+30.2%,365,time
2023-06-21,2024-06-20,BWXT,7,68.74,92.49,57,3918,5272,1354,+34.6%,365,time
2023-06-21,2024-06-20,INTC,6,32.90,30.62,119,3915,3644,-271,-6.9%,365,time
2023-06-21,2024-06-20,CCL,6,15.89,16.06,246,3909,3951,42,+1.1%,365,time
2023-06-21,2024-06-20,CUK,6,14.32,14.45,274,3924,3959,36,+0.9%,365,time
2023-06-21,2024-06-20,YPF,6,15.45,20.76,253,3909,5252,1343,+34.4%,365,time
2023-06-21,2024-06-20,AXSM,6,88.56,75.18,44,3897,3308,-589,-15.1%,365,time
2023-06-21,2024-06-20,DBX,6,25.75,20.96,152,3914,3186,-728,-18.6%,365,time
2023-06-28,2024-06-27,RDNT,6,33.27,58.90,123,4092,7245,3152,+77.0%,365,time
2023-06-28,2024-06-27,KMX,5,84.37,73.33,48,4050,3520,-530,-13.1%,365,time
2023-06-28,2024-06-27,SHC,5,18.79,11.90,218,4096,2594,-1502,-36.7%,365,time
2023-07-05,2024-07-04,XPEV,6,14.80,8.32,272,4026,2263,-1763,-43.8%,365,time
2023-07-05,2024-07-04,GNRC,6,138.48,138.03,29,4016,4003,-13,-0.3%,365,time
2023-07-05,2024-07-04,FTI,5,16.42,26.27,245,4023,6436,2413,+60.0%,365,time
2023-07-05,2024-07-04,XPO,5,58.46,107.10,69,4034,7390,3356,+83.2%,365,time
2023-07-05,2024-07-04,ATI,5,43.91,57.43,91,3996,5226,1230,+30.8%,365,time
2023-07-05,2024-07-04,ICLR,5,240.85,318.01,16,3854,5088,1235,+32.0%,365,time
2023-07-12,2024-07-11,MSTR,5,41.35,135.86,98,4052,13314,9262,+228.6%,365,time
2023-07-12,2024-07-11,NE,5,48.43,44.75,12,581,537,-44,-7.6%,365,time
2024-06-12,2025-06-12,CCZ,7,58.99,61.10,93,5486,5682,196,+3.6%,365,time
2024-06-12,2025-06-12,TTC,7,94.83,69.75,57,5405,3976,-1430,-26.4%,365,time
2024-06-12,2025-06-12,BVC,6,4.31,11.20,1275,5495,14280,8785,+159.9%,365,time
2024-06-12,2025-06-12,GWRE,6,135.25,250.64,40,5410,10026,4616,+85.3%,365,time
2024-06-12,2025-06-12,GME,6,25.46,22.14,215,5474,4760,-714,-13.0%,365,time
2024-06-12,2025-06-12,PTGX,6,33.97,56.32,161,5469,9068,3598,+65.8%,365,time
2024-06-12,2025-06-12,NVDA,5,125.20,145.00,43,5384,6235,851,+15.8%,365,time
2024-06-19,2025-06-19,AVGO,6,180.25,251.26,30,5408,7538,2130,+39.4%,365,time
2024-06-19,2025-06-19,KKR,6,110.48,122.42,49,5414,5999,585,+10.8%,365,time
2024-06-19,2025-06-19,CASY,6,376.83,506.31,14,5276,7088,1813,+34.4%,365,time
