Loaded 1127 signals
Loaded price data for 570/570 tickers

====================================================================================================
TRADE LIST: $1B+ Market Cap | 6M Hold | Stop Loss: -60%
====================================================================================================
Total trades: 177
Winners: 116 | Losers: 61 | Win Rate: 65.5%
Final Value: $277,930 | Total Return: +177.9% | CAGR: +48.5%
Max Drawdown: 28.1%

Exit Breakdown:
  time: 148 (83.6%)
  end_of_sim: 29 (16.4%)

Top 10 Winners:
  SATS: +$23,084 (+342.1%) | 2025-06-25 -> 2025-12-22
  RKLB: +$20,184 (+437.6%) | 2024-06-26 -> 2024-12-23
  IREN: +$13,106 (+184.4%) | 2025-07-09 -> 2026-01-05
  HL: +$10,719 (+161.1%) | 2025-06-11 -> 2025-12-08
  PL: +$7,287 (+70.0%) | 2025-12-17 -> 2026-01-21
  ORLA: +$7,245 (+112.9%) | 2024-12-18 -> 2025-06-16
  RKLB: +$6,888 (+96.5%) | 2025-07-02 -> 2025-12-29
  CRDO: +$5,551 (+120.4%) | 2024-07-03 -> 2024-12-30
  NVDA: +$5,357 (+129.2%) | 2024-01-17 -> 2024-07-15
  AU: +$5,067 (+75.2%) | 2025-06-18 -> 2025-12-15

All Trades (CSV):
Entry Date,Exit Date,Ticker,Score,Entry Price,Exit Price,Shares,Cost,Proceeds,P&L,P&L %,Days Held,Exit Reason
2023-06-14,2023-12-11,IOT,7,30.63,33.91,130,3982,4408,426,+10.7%,180,time
2023-06-14,2023-12-11,JOBY,7,7.86,6.51,508,3993,3307,-686,-17.2%,180,time
2023-06-14,2023-12-11,GGAL,7,15.53,17.47,257,3991,4490,499,+12.5%,180,time
2023-06-14,2023-12-11,SYM,6,48.17,50.27,83,3998,4172,174,+4.4%,180,time
2023-06-14,2023-12-11,SMCI,6,24.78,26.23,161,3990,4223,233,+5.9%,180,time
2023-06-14,2023-12-11,BMA,5,22.30,27.50,179,3992,4922,931,+23.3%,180,time
2023-06-14,2023-12-11,GTLB,5,50.81,59.69,78,3963,4656,693,+17.5%,180,time
2023-06-21,2023-12-18,PANW,7,119.46,153.79,32,3823,4921,1099,+28.7%,180,time
2023-06-21,2023-12-18,BWXT,7,68.74,77.56,57,3918,4421,503,+12.8%,180,time
2023-06-21,2023-12-18,INTC,6,32.90,45.69,119,3915,5437,1522,+38.9%,180,time
2023-06-21,2023-12-18,CCL,6,15.89,18.36,246,3909,4517,608,+15.5%,180,time
2023-06-21,2023-12-18,CUK,6,14.32,16.69,274,3924,4573,649,+16.6%,180,time
2023-06-21,2023-12-18,YPF,6,15.45,17.52,253,3909,4433,524,+13.4%,180,time
2023-06-21,2023-12-18,AXSM,6,88.56,73.20,44,3897,3221,-676,-17.3%,180,time
2023-06-21,2023-12-18,DBX,6,25.75,29.94,152,3914,4551,637,+16.3%,180,time
2023-06-28,2023-12-25,RDNT,6,33.27,35.20,123,4092,4330,237,+5.8%,180,time
2023-06-28,2023-12-25,KMX,5,84.37,76.52,48,4050,3673,-377,-9.3%,180,time
2023-06-28,2023-12-25,SHC,5,18.79,16.63,218,4096,3625,-471,-11.5%,180,time
