
Analyzing signals_history_1b_2023.json
Total signals in file: 1127
Score filter: 5-7
Holding period: 365 days
Stop loss: -60%
Signals after score filter: 960
Loaded price data for 517/517 tickers

--- STRICT VALIDATION RESULTS ---
Valid trades: 960
Dropped - no entry price: 0
Dropped - insufficient coverage (data gaps): 0
Total dropped: 0 (0.0% of filtered signals)

================================================================================
STRICT ANALYSIS: signals_history_1b_2023.json
================================================================================

Data Quality:
  Total signals:     1127
  After score filter: 960
  Valid trades:      960 (100.0%)
    - Closed:        571 (stop_loss or 12M exit)
    - Open:          389 (still holding, using latest price)
  Dropped (total):   0 (0.0%)
    - No entry price:  0
    - Data gaps:       0 (insufficient coverage in holding period)

Performance - CLOSED trades only (571 trades):
  Avg Return:    +44.6%
  Win Rate:      68.5%

Performance - ALL trades including OPEN (960 trades):
  Avg Return:    +41.7%
  Win Rate:      68.3% (656W / 304L)
  Avg Win:       +70.0%
  Avg Loss:      -19.5%
  Best:          +712.0%
  Worst:         -60.0%

Exit Reasons (closed trades):
  Stop Loss (-25%): 21 (3.7% of closed)
  Time (12M):       550 (96.3% of closed)

All Trades (960):
Entry        Exit         Ticker   Score     Entry$      Exit$     Return   Days Reason    
-----------------------------------------------------------------------------------------------
2023-06-14   2024-06-13   IOT          7      30.63      28.60     -6.6%    365 time      
2023-06-14   2024-06-13   JOBY         7       7.86       5.00    -36.4%    365 time      
2023-06-14   2024-06-13   GGAL         7      15.53      35.20   +126.7%    365 time      
2023-06-14   2024-06-13   SYM          6      48.17      37.13    -22.9%    365 time      
2023-06-14   2024-06-13   SMCI         6      24.78      87.11   +251.5%    365 time      
2023-06-14   2024-06-13   BMA          5      22.30      63.00   +182.5%    365 time      
2023-06-14   2024-06-13   GTLB         5      50.81      45.23    -11.0%    365 time      
2023-06-21   2024-06-20   PANW         7     119.46     155.52    +30.2%    365 time      
2023-06-21   2024-06-20   BWXT         7      68.74      92.49    +34.6%    365 time      
2023-06-21   2024-06-20   INTC         6      32.90      30.62     -6.9%    365 time      
2023-06-21   2024-06-20   CCL          6      15.89      16.06     +1.1%    365 time      
2023-06-21   2024-06-20   CUK          6      14.32      14.45     +0.9%    365 time      
2023-06-21   2024-06-20   YPF          6      15.45      20.76    +34.4%    365 time      
2023-06-21   2024-06-20   AXSM         6      88.56      75.18    -15.1%    365 time      
2023-06-21   2024-06-20   DBX          6      25.75      20.96    -18.6%    365 time      
2023-06-21   2024-06-20   BMA          6      26.73      58.80   +120.0%    365 time      
2023-06-28   2024-06-27   RDNT         6      33.27      58.90    +77.0%    365 time      
2023-06-28   2024-06-27   KMX          5      84.37      73.33    -13.1%    365 time      
2023-06-28   2024-06-27   SHC          5      18.79      11.90    -36.7%    365 time      
2023-07-05   2024-07-05   CCL          7      19.21      17.21    -10.4%    366 time      
2023-07-05   2024-07-05   CUK          7      17.41      15.82     -9.1%    366 time      
2023-07-05   2024-07-05   XPEV         6      14.80       7.92    -46.5%    366 time      
2023-07-05   2024-07-05   GNRC         6     138.48     140.50     +1.5%    366 time      
2023-07-05   2024-07-05   FTI          5      16.42      25.99    +58.3%    366 time      
2023-07-05   2024-07-05   XPO          5      58.46     106.56    +82.3%    366 time      
2023-07-05   2024-07-05   ATI          5      43.91      56.36    +28.4%    366 time      
2023-07-05   2024-07-05   ICLR         5     240.85     320.77    +33.2%    366 time      
2023-07-12   2024-07-11   MSTR         5      41.35     135.86   +228.6%    365 time      
2023-07-12   2024-07-11   NE           5      48.43      44.75     -7.6%    365 time      
2023-07-19   2024-07-18   COIN         7     110.15     233.24   +111.7%    365 time      
2023-07-19   2024-07-18   TTD          7      88.31      95.72     +8.4%    365 time      
2023-07-19   2024-07-18   HOOD         6      13.12      22.83    +74.0%    365 time      
2023-07-19   2024-07-18   MSTR         6      45.31     155.52   +243.2%    365 time      
2023-07-19   2024-07-18   ZG           6      53.68      49.66     -7.5%    365 time      
2023-07-19   2024-07-18   MOD          6      37.34     107.87   +188.9%    365 time      
2023-07-19   2024-07-18   SHOP         5      68.23      63.11     -7.5%    365 time      
2023-07-19   2024-07-18   BX           5     108.17     136.41    +26.1%    365 time      
2023-07-19   2024-07-18   KKR          5      61.09     114.91    +88.1%    365 time      
2023-07-19   2024-07-18   RKLB         5       7.93       5.26    -33.7%    365 time      
2023-07-26   2024-07-25   RKLB         7       7.14       5.25    -26.5%    365 time      
2023-07-26   2024-07-25   XP           6      27.28      17.59    -35.5%    365 time      
2023-07-26   2024-07-25   FYBR         5      16.95      27.36    +61.4%    365 time      
2023-07-26   2024-07-25   ALV          5     101.61      97.66     -3.9%    365 time      
2023-07-26   2024-07-25   RDNT         5      33.01      61.97    +87.7%    365 time      
2023-07-26   2024-07-25   CPA          5     119.41      91.73    -23.2%    365 time      
2023-08-02   2024-08-01   ROKU         7      91.25      55.33    -39.4%    365 time      
2023-08-02   2024-01-22   NIO          7      14.57       5.83    -60.0%    173 stop_loss 
2023-08-02   2024-08-01   LRCX         6      68.59      83.03    +21.1%    365 time      
2023-08-02   2024-08-01   BA           6     231.38     178.31    -22.9%    365 time      
2023-08-02   2024-08-01   FUTU         6      55.44      59.69     +7.7%    365 time      
2023-08-02   2024-08-01   TXT          6      76.81      90.60    +18.0%    365 time      
2023-08-09   2024-08-08   RVMD         7      29.62      41.98    +41.7%    365 time      
2023-08-09   2024-08-08   MOD          6      46.86     101.02   +115.6%    365 time      
2023-08-09   2024-08-08   ELF          6     130.96     187.95    +43.5%    365 time      
2023-08-09   2024-08-08   CAT          5     284.53     336.16    +18.1%    365 time      
2023-08-09   2024-08-08   TEAM         5     192.34     138.79    -27.8%    365 time      
2023-08-09   2024-08-08   KTOS         5      16.33      19.75    +20.9%    365 time      
2023-08-16   2024-08-15   LLY          7     546.24     931.58    +70.5%    365 time      
2023-08-16   2024-08-15   NVO          7      92.33     137.57    +49.0%    365 time      
2023-08-16   2024-08-15   APP          7      39.05      85.58   +119.2%    365 time      
2023-08-16   2024-08-15   CELH         7      59.72      41.59    -30.4%    365 time      
2023-08-16   2024-08-15   AKAM         6     101.68     100.86     -0.8%    365 time      
2023-08-16   2024-08-15   NYT          6      42.58      54.65    +28.3%    365 time      
2023-08-16   2024-08-15   JHX          5      29.69      32.76    +10.3%    365 time      
2023-08-16   2024-08-15   BROS         5      31.28      32.32     +3.3%    365 time      
2023-08-30   2024-08-29   FN           7     158.35     242.87    +53.4%    365 time      
2023-08-30   2024-08-29   VRT          5      38.89      79.92   +105.5%    365 time      
2023-08-30   2024-08-29   MTSI         5      82.97     109.33    +31.8%    365 time      
2023-08-30   2024-08-29   NXE          5       5.28       5.93    +12.3%    365 time      
2023-08-30   2024-08-29   MNSO         5      24.81      16.32    -34.2%    365 time      
2023-09-06   2024-09-05   DELL         7      70.47     107.16    +52.1%    365 time      
2023-09-06   2024-09-05   JBL          7     111.68     102.59     -8.1%    365 time      
2023-09-06   2024-09-05   FUTU         7      64.19      60.45     -5.8%    365 time      
2023-09-06   2024-09-05   NTNX         7      35.15      62.83    +78.7%    365 time      
2023-09-06   2024-09-05   WDC          6      34.34      47.31    +37.8%    365 time      
2023-09-06   2024-09-05   IOT          6      31.58      38.75    +22.7%    365 time      
2023-09-06   2024-09-05   ONTO         6     133.91     187.66    +40.1%    365 time      
